Time ns, Temperature
1583584698888912874, 1753
1583584699888944218, 1749
1583584700888953519, 1745
1583584701888956688, 1767
1583584702888967372, 1798
1583584703889017049, 1744
1583584704888998919, 1755
1583584705888996496, 1744
1583584706889032624, 1753
1583584707889002907, 1760
1583584708888994355, 1757
1583584709889064197, 1775
1583584710889040486, 1782
1583584711889071073, 1769
1583584712889046870, 1747
1583584713889053672, 1753
1583584714889063957, 1765
1583584715889068607, 1773
1583584716889116016, 1767
1583584717889120564, 1750
1583584718889096878, 1759
1583584719889148745, 1777
1583584720889124591, 1744
1583584721889117791, 1755
1583584722889155122, 1744
1583584723889166213, 1767
1583584724889147882, 1757
1583584725889190593, 1751
1583584726889163243, 1766
1583584727890195037, 1771
1583584728890205452, 1766
1583584729890219204, 1765
1583584730890195174, 1764
1583584731890223617, 1764
1583584732890234748, 1755
1583584733890239226, 1747
1583584734890244328, 1755
1583584735890252846, 1765
1583584736890263829, 1743
1583584737890270367, 1763
1583584738890242310, 1751
1583584739890285037, 1732
1583584740890293631, 1753
1583584741890293973, 1771
1583584742890265685, 1762
1583584743890315118, 1776
1583584744890306716, 1749
1583584745890324042, 1733
1583584746890311130, 1751
1583584747890343834, 1751
1583584748890348011, 1746
1583584749890358767, 1746
1583584750890337018, 1751
1583584751890357483, 1764
1583584752890368989, 1745
1583584753890297091, 1749
1583584754890340793, 1745
1583584755890363373, 1737
1583584756890372581, 1738
1583584757890365375, 1747
1583584758890357239, 1739
1583584759890377313, 1758
1583584760890391054, 1757
1583584761890394411, 1744
1583584762890405135, 1745
1583584763890445621, 1734
1583584764890417211, 1731
1583584765890420840, 1754
1583584766890405389, 1765
1583584767890483624, 1727
1583584768890438603, 1757
1583584769890487397, 1737
1583584770890504144, 1759
1583584771890516880, 1738
1583584772890507119, 1760
1583584773890511350, 1759
1583584774890501923, 1758
1583584775890526191, 1745
1583584776890539674, 1747
1583584777890562985, 1738
1583584778890521322, 1747
1583584779890549924, 1738
1583584780890554176, 1756
1583584781890569584, 1750
1583584782890571417, 1753
1583584783890583625, 1776
1583584784890555548, 1740
1583584785890625262, 1730
1583584786891593234, 1735
1583584787891605967, 1737
1583584788891628840, 1742
1583584789891582870, 1748
1583584790891602149, 1743
1583584791891594303, 1756
1583584792891601295, 1739
1583584793891601849, 1753
1583584794891593370, 1760
1583584795891655546, 1757
1583584796891662379, 1737
1583584797891629561, 1751
1583584798891680214, 1733
1583584799891681873, 1762
1583584800891693615, 1744
1583584801891695828, 1754
1583584802891702219, 1754
1583584803891668641, 1744
1583584804891673742, 1739
1583584805891722725, 1749
1583584806891725562, 1744
1583584807891726562, 1755
1583584808891739413, 1739
1583584809891714051, 1746
1583584810891685022, 1744
1583584811891719483, 1744
1583584812891709494, 1758
1583584813891723276, 1746
1583584814891776508, 1755
1583584815891739573, 1749
1583584816891772591, 1737
1583584817891788817, 1755
1583584818891774102, 1744
1583584819891769751, 1761
1583584820891808934, 1762
1583584821891788850, 1745
1583584822891783393, 1727
1583584823891846775, 1755
1583584824891808168, 1753
1583584825891839463, 1721
1583584826891833336, 1731
1583584827891851305, 1733
1583584828891816347, 1739
1583584829891871983, 1744
1583584830891881427, 1761
1583584831891870466, 1743
1583584832891879588, 1754
1583584833891882882, 1745
1583584834891852638, 1741
1583584835891905133, 1746
1583584836891863738, 1736
1583584837891908906, 1751
